ID,BAG,CNTXT,AreaFunction,level,pXRFno,X_Coord,Y_Coord,material,Ag,Al,As,Au,Ca,Cr,Cu,Fe,K,Mg,Mn,Ni,P,Pb,Sr,Ti,V,Zn,synthetic
1,15_378,Rm4,unknown,4.0,15_378_000,667073.7822,9238772.394,pottery,7735.0,3417.0,52733.0,477.0,265430.0,0.0,6512.0,52718.0,27135.0,5732.0,103.0,361397.0,21.0,46926.0,0.0,0.0,0.0,0.0,False
3,15_579,Plz1,public_activity,3.0,579_1,667041.7523,9238771.916,pottery,15642.0,809.0,13.0,699.0,18817.0,1.0,3853.0,613860.0,10203.0,941.0,11470.0,295.0,303.0,2326.0,0.0,20844.0,1147.0,6724.0,False
4,15_136,Rm2,foundary,0.0,136_37,667093.3355,9238791.731,pottery,13195.0,816.0,45.0,836.0,21305.0,1.0,4710.0,544235.0,7364.0,1181.0,21552.0,302.0,342.0,4579.0,0.0,9943.0,1227.0,6973.0,False
5,15_812,Rm6,unknown,7.0,812_6,667063.6539,9238774.055,pottery,15856.0,782.0,116.0,947.0,23769.0,1.0,4669.0,630252.0,14296.0,1228.0,9465.0,388.0,272.0,3620.0,0.0,20445.0,1073.0,6641.0,False
6,15_758,Rm2,foundary,4.0,758_3,667089.9872,9238788.435,pottery,5.0,2909.0,567.0,1630.0,96235.0,1.0,3035.0,776205.0,42018.0,1.0,17040.0,5244.0,33.0,839.0,0.0,74962.0,3865.0,2542.0,False
7,15_611,Rm5,pottery_production,4.0,611_20,667072.1099,9238760.737,pottery,9.0,2772.0,705.0,2073.0,145381.0,1.0,1728.0,817810.0,49581.0,1.0,22035.0,5167.0,779.0,1235.0,0.0,77957.0,4229.0,2731.0,False
8,15_680,Rm6,unknown,3.0,680_4,667062.5707,9238773.375,pottery,7.0,882.0,482.0,706.0,152817.0,1.0,1778.0,454951.0,36964.0,1.0,11705.0,4711.0,2849.0,754.0,0.0,54981.0,2109.0,1889.0,False
9,15_611,Rm5,pottery_production,4.0,611_18,667072.1234,9238766.407,pottery,7.0,2359.0,493.0,1740.0,198660.0,1.0,1878.0,727434.0,50140.0,1.0,17018.0,5697.0,667.0,891.0,0.0,69994.0,4119.0,2738.0,False
10,15_922,TAL2,pottery_production,0.0,922_4,667101.0515,9238702.622,pottery,4.0,1178.0,487.0,1522.0,269912.0,1.0,1186.0,562950.0,33187.0,1.0,22513.0,4629.0,14393.0,886.0,0.0,61706.0,3115.0,1891.0,False
11,15_611,Rm5,pottery_production,4.0,611_18,667072.3052,9238759.794,pottery,11.0,397.0,1055.0,1940.0,1442275.0,1.0,1058.0,103169.0,27426.0,1.0,4877.0,10293.0,815.0,1118.0,0.0,42810.0,1627.0,1758.0,False
12,15_686,Rm5,pottery_production,3.0,686_4,667071.7655,9238761.111,pottery,10.0,1795.0,588.0,1505.0,105411.0,2.0,1060.0,727164.0,93718.0,1.0,14035.0,4778.0,634.0,649.0,0.0,71542.0,3388.0,3607.0,False
13,15_441,Rm4,unknown,4.0,441_3,667072.9557,9238769.619,pottery,3.0,873.0,120.0,907.0,92722.0,4.0,1481.0,504220.0,21252.0,1.0,11217.0,4446.0,1.0,514.0,0.0,20415.0,1646.0,1643.0,False
14,15_176,Rm12,unknown,0.0,176_2,667064.2514,9238798.646,pottery,6.0,870.0,503.0,903.0,57951.0,9.0,1818.0,497418.0,40363.0,1.0,11803.0,4640.0,664.0,343.0,0.0,64017.0,3295.0,1886.0,False
15,15_276,Rm2,foundary,1.0,276_3,667095.7579,9238791.687,pottery,15388.0,853.0,16.0,279.0,37392.0,11.0,5293.0,515111.0,5842.0,1096.0,6301.0,282.0,198.0,1433.0,0.0,10643.0,1152.0,2451.0,False
16,15_900,Rm2,foundary,3.0,15_900_140,667090.8037,9238790.136,pottery,7661.0,6478.0,85387.0,494.0,207509.0,12.0,5806.0,51501.0,33357.0,6440.0,1.0,376790.0,110.0,33310.0,0.0,0.0,0.0,0.0,False
